[2020-09-28T14:49:36.857] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:38.657] [INFO] search - { dutyDate: '2020-11-10', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:39.255] [INFO] search - { dutyDate: '2020-11-10', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:40.106] [INFO] search - { dutyDate: '2020-11-10', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:40.527] [INFO] search - { dutyDate: '2020-11-10', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:41.275] [INFO] search - { dutyDate: '2020-11-10', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:41.854] [INFO] search - { dutyDate: '2020-11-10', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:42.677] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:45.058] [INFO] search - { dutyDate: '2020-10-19', weekDesc: '周一', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:51.605] [INFO] search - { dutyDate: '2020-10-05', weekDesc: '周一', status: 'WAIT_OPEN' }
[2020-09-28T14:49:52.290] [INFO] search - { dutyDate: '2020-10-05', weekDesc: '周一', status: 'WAIT_OPEN' }
[2020-09-28T14:49:53.123] [INFO] search - { dutyDate: '2020-10-05', weekDesc: '周一', status: 'WAIT_OPEN' }
[2020-09-28T14:49:53.623] [INFO] search - { dutyDate: '2020-10-05', weekDesc: '周一', status: 'WAIT_OPEN' }
[2020-09-28T14:49:54.467] [INFO] search - { dutyDate: '2020-10-27', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:55.057] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:55.752] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:56.240] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:56.939] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:57.460] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:58.337] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:58.973] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:49:59.646] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:50:00.186] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:50:01.053] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:50:01.784] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:50:02.615] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:50:03.250] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:50:03.908] [INFO] search - { dutyDate: '2020-10-06', weekDesc: '周二', status: 'TOMORROW_OPEN' }
[2020-09-28T14:50:40.261] [INFO] search - { dutyDate: '2020-10-12', weekDesc: '周一', status: 'TOMORROW_OPEN' }
